SMILES,MLM_Pred,HLM_Pred
CC(C)Nc1ccnc(N2CCN(Cc3cccs3)C(CCO)C2)n1,23.12,45.89
COc1cc(=O)n(-c2ccccc2)cc1C(=O)N1CCC2(CC1)OCCO2,69.79,85.78
Cc1cccc(NC(=N)/N=c2\nc(O)c(Cc3ccccc3)c(C)[nH]2)c1,54.97,79.86
O=C(c1nc2ncccn2n1)N1CCCn2cc(-c3ccccc3)nc21,49.12,73.73
CCN1CCN(C(=O)c2cc3c(=O)n4cc(C)ccc4nc3n2C)CC1,59.54,86.48
CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccncc2)o1,75.07,90.33
O=C(c1scc2c1OCCO2)N1CCCCCC1,12.36,34.97
Cc1ccccc1S(=O)(=O)Nc1cccc2[nH]ccc12,25.91,48.94
Cc1cc(CNc2ccc(-c3nc(CCCc4ccccc4)no3)cn2)n[nH]1,20.55,40.38
Cc1oc(-c2ccccc2)nc1CNC1(c2ccccc2)CCOCC1,13.75,27.91
[H]C1(C(O)c2ccc3c(c2)OCO3)C(=O)Oc2cc(OC)ccc2C1c1ccccc1,22.55,38.08
O=C(CN1CCCCCC1)NCC12CCCC=C1NC(=O)CC2,49.23,77.2
O=c1c(C2CCCCC2)c(O)nc2n1CC(O)CS2,65.08,75.53
CC(c1cccc(O)c1)N(C)S(=O)(=O)c1ccc2cn[nH]c2c1,48.16,59.61
CC(=O)N(CC(=O)N1CCCN(c2ccc(-c3ccccc3)nn2)CC1)C(C)c1ccccc1,17.77,26.31
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc3[nH]cnc23)cc1,59.14,71.47
C[C@H]1CCCC(=O)CCC/C=C/c2cc(OCc3ccc(Cl)c(Cl)c3)cc(OCc3ccc(Cl)c(Cl)c3)c2C(=O)O1,38.24,51.4
Cc1ccc(N(C(C)C(=O)N2CCN(C)CC2)S(C)(=O)=O)cc1C,38.8,58.87
CC(C)n1cc(S(=O)(=O)N2CC(C(=O)O)c3ccccc32)cn1,82.36,87.88
CC(C)n1cc(NC(=O)C2(C)Oc3ccccc3NC2=O)cn1,65.41,80.46
CC1CC(=O)N(Cc2ccc(Br)cc2)c2ccccc2N1,18.39,28.41
COc1ccccc1/C=C/c1nc(S(=O)(=O)c2ccccc2)c(N2CCN(C)CC2)o1,15.86,22.59
COc1ccc(OC)c(N2C(=O)c3cc4occc4n3CC2(C)C(=O)NC2CCCCCC2)c1,16.43,23.27
CCN(CC)c1ccc(-c2nnc(-c3ccc(N(CC)CC)cc3)o2)cc1,16.32,25.81
COc1ccc(C2C(C(=O)Nc3ccccc3OC)CCC(=O)N2c2ccc3c(c2)OCO3)cc1,27.05,37.99
O=C(Cc1ccc(Cl)s1)NC(CO)c1c(F)cccc1F,28.35,38.51
